,indoor_t_c,outdoor_t_c,q_solar_w,q_conduct_w,q_vent_w,q_internal_w,q_net_w
2024-01-01 00:00:00+05:30,14.232060765929482,14.19,0.0,458.13197166748495,-0.6594286882424393,100.0,557.4725429792425
2024-01-01 01:00:00+05:30,14.412365911689042,13.899999999999999,0.0,398.26176408437874,-8.032872763460803,100.0,490.2288913209179
2024-01-01 02:00:00+05:30,14.612168291464558,13.335,0.0,304.5756738715956,-20.02344447358136,100.0,384.5522293980143
2024-01-01 03:00:00+05:30,14.766409123024589,12.770000000000001,0.0,217.79459443305544,-31.29970223077952,100.0,286.49489220227593
2024-01-01 04:00:00+05:30,14.875991358651595,12.04,0.0,119.26507473194711,-44.4626725209397,100.0,174.80240221100743
2024-01-01 05:00:00+05:30,14.931964808351433,11.225,0.0,19.32129524120712,-58.117794265333764,100.0,61.20350097587336
2024-01-01 06:00:00+05:30,14.944646433839411,10.735,9.372127443295089,-30.59063687136799,-65.9988367897343,100.0,12.782653782192803
2024-01-01 07:00:00+05:30,14.964963811394504,11.32,77.74066016930139,81.94210680675002,-57.14574263504304,100.0,202.53702434100833
2024-01-01 08:00:00+05:30,15.126074973573845,12.979999999999999,195.31279507686224,330.87567159105123,-33.64616343569076,100.0,592.5423032322227
2024-01-01 09:00:00+05:30,15.472125111020398,15.584999999999999,303.0508179641883,651.5639259571059,1.7696525094221993,100.0,1056.3843964307164
2024-01-01 10:00:00+05:30,16.050762571476213,18.925,475.148950435313,1065.9959260699532,45.06229440439595,100.0,1686.207170909662
2024-01-01 11:00:00+05:30,16.908094119674686,21.285,528.5730728348989,1240.6960317204857,68.62113039174027,100.0,1937.8902349471252
2024-01-01 12:00:00+05:30,17.744242351598228,22.265,461.3168931634111,1174.7998461341974,70.87643841164301,100.0,1806.9931777092518
2024-01-01 13:00:00+05:30,18.538908299176246,22.649999999999995,423.3014237332902,1069.4018511339661,64.45369568551477,100.0,1657.156970552771
2024-01-01 14:00:00+05:30,19.23321229986897,22.505,330.9943796904773,879.4116407032578,51.29508756265427,100.0,1361.7011079563895
2024-01-01 15:00:00+05:30,19.77511074473293,21.564999999999998,209.58599059249227,601.580059204053,28.061883744077083,100.0,939.2279335406223
2024-01-01 16:00:00+05:30,20.100322351099525,19.43,83.77339966412494,219.1581422461162,-10.509313820538365,100.0,392.42222808970274
2024-01-01 17:00:00+05:30,20.18026003661932,17.26,13.666580179312612,-88.63830165610172,-45.78383685411767,100.0,-20.75555833090678
2024-01-01 18:00:00+05:30,20.13194729952647,16.105,0.0,-221.1114652838194,-63.134479761976,100.0,-184.24594504579542
2024-01-01 19:00:00+05:30,20.033763302285113,15.375,0.0,-288.1532912460154,-73.04009105322598,100.0,-261.19338229924136
2024-01-01 20:00:00+05:30,19.904588201180953,14.729999999999999,0.0,-340.9594504783095,-81.12719381811499,100.0,-322.08664429642454
2024-01-01 21:00:00+05:30,19.750141597463735,14.14,0.0,-383.7634239451911,-87.95579996503646,100.0,-371.7192239102275
2024-01-01 22:00:00+05:30,19.575558470293434,13.615,0.0,-416.22121704744745,-93.44963569726049,100.0,-409.67085274470793
2024-01-01 23:00:00+05:30,19.38639490597546,13.19,0.0,-435.2471091499022,-97.14707933588325,100.0,-432.3941884857855
2024-01-02 00:00:00+05:30,19.190783976964862,12.935,0.0,-434.21816601326753,-98.07818119085512,100.0,-432.29634720412264
2024-01-02 01:00:00+05:30,18.99948954443042,12.82,0.0,-418.1323437011731,-96.8820370775802,100.0,-415.0143807787533
2024-01-02 02:00:00+05:30,18.81740940610626,12.78,0.0,-395.0263408025691,-94.65450466893395,100.0,-389.68084547150306
2024-01-02 03:00:00+05:30,18.64599508404579,12.585,0.0,-390.9311663494163,-95.02428092766992,100.0,-385.9554472770862
2024-01-02 04:00:00+05:30,18.467502076815993,12.050000000000002,0.0,-423.9186220718291,-100.61359756032117,100.0,-424.5322196321502
2024-01-02 05:00:00+05:30,18.266782247337314,11.37,0.0,-469.8096941899701,-108.12775207375442,100.0,-477.93744626372455
2024-01-02 06:00:00+05:30,18.045961377768393,10.915,7.623596203874366,-481.7114791392157,-111.79921248065286,100.0,-485.8870954159943
2024-01-02 07:00:00+05:30,17.849411080913814,11.795,60.09765341891906,-314.57807421883643,-94.92105692656675,100.0,-249.4014777264841
2024-01-02 08:00:00+05:30,17.816416309870345,13.735,153.78999126315148,-22.372491147674584,-63.988444906147286,100.0,167.4290552093296
2024-01-02 09:00:00+05:30,17.97482576629366,16.705000000000002,246.66980770779142,356.3613819226709,-19.908328363951984,100.0,683.1228612665103
2024-01-02 10:00:00+05:30,18.39687572090676,19.915000000000003,406.1334099473793,770.9460569671486,23.801152447623846,100.0,1300.8806193621517
2024-01-02 11:00:00+05:30,19.092145461276186,21.66,682.1067637187364,1061.2540851583105,40.258823458112005,100.0,1883.6196723351588
2024-01-02 12:00:00+05:30,20.01484943999334,22.47,834.9191019633735,1121.6423233926669,38.491850479784375,100.0,2095.0532758358245
2024-01-02 13:00:00+05:30,20.924281269015605,22.7,767.4884221405323,962.313845235196,27.839718264373357,100.0,1857.6419856401017
