,indoor_t_c,outdoor_t_c,q_solar_w,q_conduct_w,q_vent_w,q_internal_w,q_net_w
2024-05-28 10:00:00+05:30,41.41230048462247,45.665,1564.6150069651685,1218.345824188835,66.67382300208885,100.0,2949.6346541560924
2024-05-28 11:00:00+05:30,42.75090244827754,46.635,1643.1387911269906,1153.5016756946045,60.89488141590463,100.0,2957.5353482375
2024-05-28 12:00:00+05:30,44.05604299810576,47.29999999999999,1647.776404872785,1013.6897851117245,50.85875787569797,100.0,2812.324947860207
2024-05-28 13:00:00+05:30,45.28110060059759,47.63999999999999,1610.1329144585031,836.3268311027188,36.98282478383094,100.0,2583.442570345053
2024-05-28 14:00:00+05:30,46.379703480766814,47.645,1486.6471732065827,564.0892044305301,19.837318828537864,100.0,2170.5736964656508
2024-05-28 15:00:00+05:30,47.24864397822004,47.31,1269.078936796096,202.03684156400826,0.9619397094663014,100.0,1572.0777180695707
2024-05-28 16:00:00+05:30,47.819893894224094,46.615,917.402468775466,-264.4863671024896,-18.890326473645285,100.0,734.0257751993312
2024-05-28 17:00:00+05:30,47.959584929712264,45.300000000000004,459.78848551437676,-808.8403562595862,-41.696972528028795,100.0,-290.74884327323826
2024-05-28 18:00:00+05:30,47.65655190403542,43.535,114.97745832703426,-1227.789800418459,-64.61769075146728,100.0,-1077.430032842892
2024-05-28 19:00:00+05:30,47.0856959740568,41.660000000000004,0.0,-1438.2162191808056,-85.0640614812625,100.0,-1423.2802806620682
2024-05-28 20:00:00+05:30,46.422338043711854,39.915,0.0,-1533.5091530778673,-102.02204584931451,100.0,-1535.531198927182
2024-05-28 21:00:00+05:30,45.72087475844878,38.665,0.0,-1567.4772717221406,-110.62200446296002,100.0,-1578.0992761851005
2024-05-28 22:00:00+05:30,45.01220717576327,37.78,0.0,-1559.392578317945,-113.3865441016166,100.0,-1572.7791224195619
2024-05-28 23:00:00+05:30,44.3096637375621,37.045,0.0,-1535.4027425539982,-113.89539807749856,100.0,-1549.2981406314968
2024-05-29 00:00:00+05:30,43.6194906257893,36.345,0.0,-1509.3599078974466,-114.0494640311246,100.0,-1523.4093719285713
2024-05-29 01:00:00+05:30,42.9382650747174,35.49,0.0,-1502.0674940918134,-116.77389984141938,100.0,-1518.841393933233
2024-05-29 02:00:00+05:30,42.254145591356746,34.49,0.0,-1510.608663259001,-121.72627458129114,100.0,-1532.334937840292
2024-05-29 03:00:00+05:30,41.56383314879149,33.51499999999999,0.0,-1515.405721677734,-126.18960610675299,100.0,-1541.5953277844867
2024-05-29 04:00:00+05:30,40.870751271399364,32.54,0.0,-1519.7830626358655,-130.60951843299927,100.0,-1550.3925810688645
2024-05-29 05:00:00+05:30,40.24692688617342,32.435,447.43049672577985,-997.9241848204183,-122.47538972142682,100.0,-572.9690778160652
2024-05-29 06:00:00+05:30,40.28027119131445,34.335,860.6456498612065,-409.22338552350607,-93.20996173742795,100.0,458.21230260027255
2024-05-29 07:00:00+05:30,40.54427845551701,37.675000000000004,961.0881210842817,-23.777814822290537,-44.98454762559561,100.0,992.3257586363956
