insulation_mm,mean_indoor_c,min_indoor_c,max_indoor_c,comfort_hours,comfort_fraction,solar_gain_kwh,night_heat_loss_kwh,total_heat_loss_kwh
0,43.398510641090034,33.75074760189659,49.39707397371066,0,0.0,98.28251419212282,-115.08052201488744,-128.804718049994
25,39.393498260983364,33.81668540690388,42.49059502831526,0,0.0,44.473392294235026,-54.08949853980257,-62.307374420016586
50,38.065034753561655,33.833451348758366,40.42671615934482,0,0.0,34.47993772546635,-43.433042003321034,-52.3315410996503
100,36.96697905139414,33.84650508729353,38.806150416012535,0,0.0,27.827767103235058,-36.80218794942048,-48.207529230315785
