wall_material,mean_indoor_c,min_indoor_c,max_indoor_c,comfort_hours,comfort_fraction,solar_gain_kwh,night_heat_loss_kwh,total_heat_loss_kwh
brick,43.398510641090034,33.75074760189659,49.39707397371066,0,0.0,98.28251419212282,-115.08052201488744,-128.804718049994
concrete,43.74087945722262,33.77395016010135,49.98381547270241,0,0.0,114.78859830970032,-138.97430543727393,-153.83193793792174
stone,43.67252004521846,33.80826717146639,49.75595121304827,0,0.0,120.13295284886678,-149.32639720770158,-164.27313992585385
rammed_earth,43.11047159494893,33.711211542305755,49.11185569711253,0,0.0,93.79763680626891,-112.34500977145674,-125.93123193388769
timber,42.298886798081085,33.33585518974527,49.24980899335794,0,0.0,70.1274806927406,-78.4902472938618,-93.72027154898734
puf_sandwich_panel,41.951044354734876,32.825888560589334,51.135363338927505,0,0.0,62.56842974147987,-63.52225516707257,-83.73664043740855
gi_sheet,42.90390054762015,34.15700676353598,47.05352948944378,0,0.0,136.14782005739892,-164.61250682811786,-177.87099298183972
